fact_id,fact
104,"Honeybees can recognize human faces."
105,"Crows can recognize individual human faces and hold grudges."
106,"Rabbits can't vomit."
107,"A duck's quack doesn't echo, and no one knows why."
108,"In a deck of cards, the king of hearts is the only king without a mustache."
109,"The first novel ever written on a typewriter was 'Tom Sawyer.'"
110,"The Bible is the most shoplifted book in America."
111,"Maine is the only state whose name is just one syllable."
112,"There are 293 ways to make change for a dollar."
113,"The expression 'rule of thumb' comes from an old English law which stated that a man could not beat his wife with anything wider than his thumb."
114,"A strawberry isn't actually a berry, but a banana is."
115,"Rubber bands last longer when refrigerated."
116,"No piece of square paper can be folded more than 7 times in half."
117,"Honey is the only food that doesn't spoil."
118,"Ketchup was sold as medicine in the 1830s."
119,"Peanuts are one of the ingredients in dynamite."
120,"Months that begin on a Sunday will always have a Friday the 13th."
121,"The average person walks the equivalent of three times around the world in a lifetime."
122,"Coca-Cola would be green if coloring wasn't added to it."
123,"A giraffe can go longer without water than a camel can."
124,"In Switzerland, it's illegal to own just one guinea pig because they're social animals and get lonely."
125,"The weight of all the ants on Earth is equal to the weight of all the humans on Earth."
126,"A crocodile cannot stick its tongue out."
127,"A snail can sleep for three years."
128,"No word in the English language rhymes with 'orange', 'silver', or 'purple'."
129,"The sentence 'The quick brown fox jumps over the lazy dog' uses every letter in the English alphabet."
130,"The candle flame was the first thing ever photographed."
131,"All of the clocks in the movie 'Pulp Fiction' are stuck on 4:20."
132,"The first couple to be shown in bed together on prime time television were Fred and Wilma Flintstone."
133,"Every year about 98% of the atoms in your body are replaced."
134,"Hot water will turn into ice faster than cold water."
135,"The strongest muscle in the body is the tongue."
136,"The tongue is the strongest muscle in the human body."
137,"A cockroach will live nine days without its head before it starves to death."
138,"The Hawaiian alphabet has 12 letters."
139,"Tug-of-war was an Olympic sport from 1900-1920."
140,"On average, a human will spend two weeks kissing in their lifetime."
141,"A typical lead pencil can draw a line 35 miles long or write approximately 50,000 English words."
142,"2,500 lefties die each year using products designed for right-handed people."
143,"The electric chair was invented by a dentist."
144,"You burn more calories sleeping than you do watching TV."
145,"A baby's head is one-quarter of its total length, but by age 25 will only be one-eighth of its total length."
146,"A typical bed usually houses over 6 billion dust mites."
147,"The highest point in Pennsylvania is lower than the lowest point in Colorado."
148,"The word 'nerd' was first coined by Dr. Seuss in 'If I Ran the Zoo.'"
149,"One quarter of the bones in your body are in your feet."
150,"The word 'lethologica' describes the state of not being able to remember the word you want."
151,"The king of hearts is the only king without a mustache in a standard playing deck of cards."
152,"The word 'typewriter' can be typed using only the top row of a QWERTY keyboard."
153,"In Boston, it's illegal to take a bath unless instructed to do so by a physician."
154,"Minus 40 degrees Celsius is exactly the same as minus 40 degrees Fahrenheit."
155,"Women's hearts beat faster than men's."
156,"The only food that never spoils is honey."
157,"The first product to have a bar code scanned was Wrigley's gum."
158,"The largest recorded snowflake was 15 inches wide and 8 inches thick."
159,"In ancient Rome, when a man testified in court he would swear on his testicles."
160,"The placement of a donkey's eyes in its heads enables it to see all four feet at all times."
161,"Some lipsticks contain fish scales."
162,"A one-minute kiss burns 26 calories."
163,"Crocodiles can't stick their tongues out."
164,"Starfish have no brains."
165,"There are more stars in the universe than grains of sand on all the beaches on Earth."
166,"Our eyes remain the same size from birth onward, but our nose and ears never stop growing."
167,"The total surface area of the lungs is approximately the size of a tennis court."
168,"Dentists recommend that a toothbrush be kept at least 6 feet away from a toilet to avoid airborne particles from the flush."
169,"You burn more calories sleeping than you do watching television."
170,"A molecule of DNA is about 2 nanometers wide."
171,"Stomach acid can dissolve razor blades."
172,"The human nose can detect over 1 trillion different scents."
173,"A bolt of lightning can reach temperatures five times hotter than the sun."
174,"Chameleons don't change color to match their surroundings, but rather to regulate their body temperature or communicate."
175,"Kangaroos can't walk backwards."
176,"A group of crows is called a murder."
177,"A group of unicorns is called a blessing."
178,"Strawberries are the only fruits with seeds on the outside."
179,"Porcupines float in water."
180,"Shakespeare invented the words 'assassination' and 'bump.'"
181,"There are 336 dimples on a regulation golf ball."
182,"A standard 1.5-ounce milk chocolate bar has about 400 beans."
183,"A flea can jump up to 200 times its own height."
184,"The Great Barrier Reef is the largest living structure on Earth."
185,"The only bone in the human body not connected to another bone is the hyoid bone in the throat."
186,"An octopus has three hearts."
187,"A day on Venus is longer than a year on Venus."
188,"More people are allergic to cow's milk than any other food."
189,"Bananas grow pointing upwards, not hanging down."
190,"The fear of vegetables is called lachanophobia."
191,"About 8 million tons of broccoli is eaten in the U.S. each year."
192,"The first watermelon harvested in Japan sold for $6,100."
193,"There are more than 40,000 varieties of rice."
194,"Lemons contain more sugar than strawberries."
195,"The lifespan of a taste bud is about 10 days."
196,"The average strawberry has 200 seeds."
197,"There are over 10,000 varieties of tomatoes."
198,"Apples, peaches, and raspberries are all members of the rose family."
199,"Bananas are berries, but strawberries aren't."
200,"The average person eats 8 pounds of grapes each year."
